Domain,Academic,Clinical,Research,Experience,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11
Counselling Psychology,1,1,0,7,1,1,1,1,1,1,1,1,1,1,1
Medical Sociology,1,0,1,15,1,1,1,1,1,1,1,1,1,1,1
Counselling Psychology,1,0,1,7,1,1,1,1,1,1,1,1,1,1,1
Rehabitational Psychology,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1
Speech Therapy,0,1,1,5,1,1,1,1,1,1,1,1,1,1,1
Social Work,1,1,0,17,1,1,1,1,1,1,1,1,1,1,1
Clinical Psychology,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1
Clinical Psychology,1,1,0,9,1,1,1,1,1,1,1,1,1,1,1
Clinical Psychology,0,1,1,8,1,1,1,1,1,1,1,1,1,1,1
Psychiatry,0,1,1,5,1,1,1,1,1,1,1,0,1,1,1
Anthropology,1,0,1,15,1,1,1,1,1,1,1,1,1,1,1
Behvaioural Research,1,0,1,15,0,1,1,1,1,1,0,1,0,1,1
Behvaioural Research,1,1,1,25,1,1,1,1,1,1,1,1,1,1,1
