Domain,Academic,Clinical,Research,Experience,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19
Counselling Psychology,1,1,0,7,4,4,4,2,4,4,4,3,2,4,4,4,4,4,1,3,3,4,4
Medical Sociology,1,0,1,15,4,4,4,1,4,4,4,2,4,3,4,4,4,4,2,4,3,4,4
Counselling Psychology,1,0,1,7,3,3,3,1,4,4,3,2,2,2,3,4,3,3,3,4,3,3,3
Rehabitational Psychology,1,1,1,10,4,4,3,1,4,4,4,4,2,4,4,4,4,3,2,4,4,3,4
Speech Therapy,0,1,1,5,4,4,4,4,4,4,3,2,3,2,3,3,4,4,4,4,4,4,4
Social Work,1,1,0,17,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Clinical Psychology,1,1,1,7,3,3,3,3,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4
Clinical Psychology,1,1,0,9,4,4,3,1,4,3,4,4,4,4,3,4,4,3,4,4,3,4,4
Clinical Psychology,0,1,1,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Psychiatry,0,1,1,5,4,4,4,2,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4
Anthropology,1,0,1,15,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4
Behvaioural Research,1,0,1,15,2,3,3,1,4,4,4,4,4,4,2,2,3,2,1,4,4,2,2
Behvaioural Research,1,1,1,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
